date,up_rain_sum,stage_mean,stage_max,up_rain_prev1,up_rain_prev3,up_rain_prev7,stage_max_prev1,stage_mean_prev1,is_flood,gurd_rain,gurd_rain_prev1,gurd_rain_prev3,gurd_rain_prev7
2019-09-12,2.103228037,349.0925833333333,349.268,0.331352403,7.643834645000004,44.500179443,349.289,349.1741666666667,False,0.0,0.0,0.0,0.0
2019-09-13,0.0,349.1737083333333,349.317,2.103228037,6.6683585940000025,46.60340748,349.268,349.0925833333333,False,0.0,0.0,0.0,0.0
2019-09-14,0.0,349.12354166666665,349.308,0.0,2.4345804400000035,46.60340748,349.317,349.1737083333333,False,0.0,0.0,0.0,0.0
2019-09-15,0.0,349.10337499999997,349.302,0.0,2.1032280370000036,38.695978494,349.308,349.12354166666665,False,0.0,0.0,0.0,0.0
2019-09-16,0.0,349.21037500000006,349.593,0.0,0.0,9.747062682,349.302,349.10337499999997,False,0.0,0.0,0.0,0.0
2019-09-17,0.0,349.299125,349.493,0.0,0.0,6.668358593999999,349.593,349.21037500000006,False,0.0,0.0,0.0,0.0
2019-09-18,0.0,349.336,349.661,0.0,0.0,2.43458044,349.493,349.299125,False,0.0,0.0,0.0,0.0
2019-09-19,0.0,349.04850000000005,349.552,0.0,0.0,2.103228037,349.661,349.336,False,0.0,0.0,0.0,0.0
2019-09-20,0.0,349.2465833333333,349.597,0.0,0.0,0.0,349.552,349.04850000000005,False,0.0,0.0,0.0,0.0
2019-09-21,0.0,349.22812500000003,349.49,0.0,0.0,0.0,349.597,349.2465833333333,False,0.0,0.0,0.0,0.0
2019-09-22,0.0,349.23675000000003,349.285,0.0,0.0,0.0,349.49,349.22812500000003,False,0.0,0.0,0.0,0.0
2019-09-23,0.0,349.3362916666667,349.617,0.0,0.0,0.0,349.285,349.23675000000003,False,0.0,0.0,0.0,0.0
2019-09-24,0.0,349.2070833333333,349.286,0.0,0.0,0.0,349.617,349.3362916666667,False,0.0,0.0,0.0,0.0
2019-09-25,0.0,349.18379166666665,349.351,0.0,0.0,0.0,349.286,349.2070833333333,False,0.0,0.0,0.0,0.0
2019-09-26,0.0,349.11233148967557,349.203,0.0,0.0,0.0,349.351,349.18379166666665,False,0.0,0.0,0.0,0.0
2019-10-01,0.0,348.94393464324,348.947,0.0,0.0,0.0,349.203,349.11233148967557,True,0.0,0.0,0.0,0.0
